ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year
53,32,-8,1642,1650,1545,65,NA,0,NA,4,10,4,1549,PIT,205,0,209,NA,10,NA,DCA,NA,N443US,7,14,US,NA,2002
164,155,-11,1754,1805,1610,175,NA,0,NA,4,2,0,1610,MCI,1072,0,109,NA,12,NA,MCO,NA,N755,2,7,WN,NA,1999
60,NA,15,2005,1950,1850,60,NA,0,NA,5,10,15,1905,CLT,227,0,1276,NA,12,NA,ATL,NA,NA,NA,NA,DL,NA,1993
51,NA,-5,1818,1823,1728,55,NA,0,NA,4,28,-1,1727,BNA,200,0,961,NA,9,NA,MEM,NA,NA,NA,NA,AA,NA,1989
45,29,2,1120,1118,1030,48,,0,0,1,19,5,1035,CMH,116,0,5873,0,6,0,CVG,0,N785CA,3,13,OH,0,2006
49,37,2,1137,1135,1048,47,NA,0,NA,4,2,0,1048,CLT,156,0,353,NA,1,NA,MYR,NA,N934VJ,6,6,US,NA,1997
61,40,-3,1537,1540,1440,60,,0,NA,7,20,-4,1436,LAW,140,0,3281,NA,7,NA,DFW,NA,N286AE,7,14,MQ,NA,2008
150,126,-19,2015,2034,1745,169,NA,0,NA,4,15,0,1745,ATL,903,0,1521,NA,10,NA,PVD,NA,N919DE,14,10,DL,NA,1998
115,103,-5,735,740,640,120,NA,0,NA,2,16,0,640,SEA,689,0,1678,NA,6,NA,SLC,NA,N346,2,10,WN,NA,1998
NA,NA,NA,NA,730,605,85,B,1,0,7,10,NA,NA,SLC,391,0,4117,0,4,0,DEN,0,N705EV,0,0,EV,0,2005
102,NA,-4,1603,1607,1320,107,NA,0,NA,2,3,1,1321,DFW,641,0,280,NA,12,NA,DEN,NA,NA,NA,NA,CO,NA,1991
87,NA,-8,1547,1555,1322,93,NA,0,NA,3,13,-2,1320,CLE,487,0,142,NA,11,NA,STL,NA,NA,NA,NA,TW,NA,1991
170,135,10,1051,1041,800,161,NA,0,NA,4,22,1,801,MCO,950,0,1123,NA,10,NA,LGA,NA,N558AA,3,32,AA,NA,1998
100,81,-2,1220,1222,1045,97,,0,0,1,6,-5,1040,ATL,300,0,4120,0,11,0,GNV,0,N632AS,10,9,EV,0,2006
60,NA,-5,2040,2045,1940,65,NA,0,NA,6,27,0,1940,DFW,247,0,559,NA,10,NA,SAT,NA,NA,NA,NA,AA,NA,1990
79,70,-16,1444,1500,1220,100,NA,0,NA,7,19,5,1225,PIT,553,0,754,NA,11,NA,STL,NA,N970VJ,5,4,US,NA,1995
174,NA,43,1213,1130,1031,179,NA,0,NA,5,8,48,1119,DEN,1199,0,545,NA,10,NA,ATL,NA,NA,NA,NA,DL,NA,1993
133,117,40,1429,1349,1044,125,NA,0,NA,4,30,32,1116,BOS,867,0,1270,NA,1,NA,ORD,NA,N7280U,5,11,UA,NA,1997
33,22,-3,1916,1919,1845,34,,0,0,2,6,-2,1843,HNL,100,0,549,0,11,0,OGG,0,N477HA,5,6,HA,0,2007
57,31,-9,1659,1708,1612,56,,0,0,5,4,-10,1602,ATL,152,0,4632,0,2,0,TYS,0,N846AS,9,17,EV,0,2005
79,65,13,1558,1545,1420,85,NA,0,NA,3,4,19,1439,SMF,480,0,950,NA,8,NA,SAN,NA,N358,3,11,WN,NA,1999
95,74,136,2343,2127,2035,112,,0,136,7,30,153,2308,SGF,563,0,4811,0,7,0,ATL,0,N854AS,3,18,EV,0,2006
48,NA,-2,1128,1130,1040,50,NA,0,NA,6,7,0,1040,TUL,237,0,14,NA,4,NA,DAL,NA,NA,NA,NA,WN,NA,1990
63,NA,16,1611,1555,1455,60,NA,0,NA,4,17,13,1508,MDW,251,0,842,NA,5,NA,STL,NA,NA,NA,NA,WN,NA,1990
129,NA,9,2159,2150,1850,120,NA,0,NA,4,9,0,1850,MLI,751,0,722,NA,8,NA,DEN,NA,NA,NA,NA,UA,NA,1990
105,61,3,2017,2014,1835,99,NA,0,NA,5,7,-3,1832,PIT,335,0,1587,NA,1,NA,LGA,NA,N934VJ,7,37,US,NA,2000
143,122,4,824,820,600,140,,0,0,4,21,1,601,ATL,780,0,662,0,12,0,HPN,0,N996AT,11,10,FL,0,2006
67,52,-4,1514,1518,1410,68,NA,0,NA,7,23,-3,1407,PVD,328,0,2614,NA,8,NA,BWI,NA,N278AU,6,9,US,NA,1998
97,76,2,1359,1357,1215,102,NA,0,NA,6,23,7,1222,CLE,404,0,281,NA,12,NA,EWR,NA,N27610,4,17,CO,NA,2000
245,228,-14,2007,2021,1800,261,NA,0,NA,2,26,2,1802,DEN,1619,0,239,NA,12,NA,LGA,NA,N327UA,5,12,UA,NA,1995
81,60,-6,1049,1055,930,85,,0,0,2,21,-2,928,MDT,429,0,4473,0,8,0,CVG,0,N926EV,5,16,EV,0,2007
123,86,10,1442,1432,1245,107,NA,0,NA,5,15,-6,1239,DTW,453,0,1781,NA,11,NA,PHL,NA,N775NC,18,19,NW,NA,2002
69,54,-12,1756,1808,1644,84,NA,0,NA,6,29,3,1647,MSP,334,0,765,NA,9,NA,ORD,NA,N986?1,5,10,UA,NA,2001
59,44,-4,1230,1234,1125,69,NA,0,NA,1,24,6,1131,LIT,296,0,489,NA,3,NA,STL,NA,N52310,3,12,TW,NA,1997
110,104,-2,2333,2335,2135,120,NA,0,NA,5,28,8,2143,HOU,687,0,551,NA,12,NA,STL,NA,N81@@@,2,4,WN,NA,2001
119,100,-18,1547,1605,1450,135,,0,0,3,3,-2,1448,ORD,599,0,7449,0,12,0,CLT,0,N679BR,7,11,DH,0,2003
NA,NA,NA,NA,1125,1005,80,NA,1,NA,6,30,NA,NA,ALB,318,0,360,NA,12,NA,DCA,NA,UNKNOW,0,0,US,NA,2000
51,35,-14,647,701,600,61,NA,0,NA,1,12,-4,556,IAH,201,0,2510,NA,5,NA,CRP,NA,N15910,8,8,XE,NA,2003
222,200,-4,1216,1220,830,230,NA,0,NA,4,26,4,834,SJU,1576,0,1268,NA,10,NA,PHL,NA,N782AU,8,14,US,NA,1995
157,144,1,941,940,700,160,NA,0,NA,1,8,4,704,TPA,920,0,223,NA,4,NA,PHL,NA,N223US,5,8,US,NA,1996
59,39,4,917,913,818,55,NA,0,NA,4,30,0,818,ANC,261,0,88,NA,7,NA,FAI,NA,N764AS,5,15,AS,NA,1998
88,75,-10,1250,1300,1125,95,NA,0,NA,7,10,-3,1122,MEM,559,0,1711,NA,9,NA,AUS,NA,N8925E,5,8,NW,NA,1995
66,NA,-5,2205,2210,2200,70,NA,0,NA,5,4,-1,2159,ORD,235,0,1710,NA,2,NA,DTW,NA,NA,NA,NA,NW,NA,1994
64,50,-24,1956,2020,1900,80,,0,0,2,10,-8,1852,LGA,214,0,4976,0,2,0,DCA,0,N720MQ,5,9,MQ,0,2004
NA,NA,NA,NA,841,745,56,B,1,0,5,16,NA,NA,ASE,125,0,7047,0,2,0,DEN,0,N434YV,0,0,YV,0,2007
130,NA,-14,1801,1815,1651,144,NA,0,NA,4,30,0,1651,ORD,717,0,693,NA,8,NA,ORF,NA,NA,NA,NA,UA,NA,1990
280,NA,150,2320,2050,1330,260,NA,0,NA,4,15,130,1540,DTW,1979,0,26,NA,2,NA,LAX,NA,NA,NA,NA,NW,NA,1990
148,105,6,1320,1314,1155,139,NA,0,NA,5,31,-3,1152,STL,737,0,603,NA,3,NA,BWI,NA,N922TW,34,9,TW,NA,2000
64,56,-1,2144,2145,2040,65,,0,0,7,11,0,2040,BUR,358,0,893,0,1,0,SMF,0,N369,1,7,WN,0,2004
85,48,13,623,610,500,70,,0,NA,4,24,-2,458,MSP,284,0,2843,NA,1,NA,GFK,NA,89709E,10,27,9E,NA,2008
75,62,0,2245,2245,2130,75,NA,0,NA,3,22,0,2130,OAK,446,0,398,NA,2,NA,SAN,NA,N513,4,9,WN,NA,1995
166,150,-4,1446,1450,1200,170,,0,0,1,31,0,1200,BDL,1133,0,1449,0,7,0,PBI,0,N6713Y,3,13,DL,0,2006
103,82,62,1536,1434,1238,116,,0,0,5,28,75,1353,BUF,712,0,550,62,12,0,ATL,0,N937AT,4,17,FL,0,2007
160,147,-20,1840,1900,1605,175,NA,0,NA,6,2,-5,1600,TPA,998,0,1218,NA,3,NA,EWR,NA,N17306,3,10,CO,NA,2002
108,NA,3,1358,1355,1210,105,NA,0,NA,1,6,0,1210,SEA,671,0,475,NA,7,NA,OAK,NA,NA,NA,NA,AS,NA,1992
252,211,5,1415,1410,800,250,NA,0,NA,1,25,3,803,ORD,1846,0,46,NA,6,NA,SFO,NA,N589?1,4,37,UA,NA,2001
87,61,-1,727,728,600,88,,0,0,1,5,0,600,RDU,416,0,4625,0,9,0,EWR,0,N704PG,3,23,MQ,0,2005
197,171,-7,1252,1259,1135,204,NA,0,NA,7,29,0,1135,ELP,1282,0,325,NA,12,NA,ATL,NA,N522DA,7,19,DL,NA,2002
80,NA,-5,1235,1240,1115,85,NA,0,NA,2,15,0,1115,ATL,443,0,1018,NA,8,NA,MLB,NA,NA,NA,NA,DL,NA,1989
75,57,8,731,723,500,83,,0,0,1,29,16,516,ATL,425,0,2047,0,9,0,MSY,0,N949DL,5,13,DL,0,2003
66,43,-5,2209,2214,2108,66,,0,0,2,13,-5,2103,FLO,273,0,4255,0,7,0,ATL,0,N923EV,4,19,EV,0,2004
36,NA,3,1533,1530,1500,30,NA,0,NA,3,26,-3,1457,SFO,77,0,1770,NA,12,NA,MRY,NA,NA,NA,NA,UA,NA,1990
99,NA,-12,739,751,700,111,NA,0,NA,7,16,0,700,ORD,607,0,819,NA,4,NA,SYR,NA,NA,NA,NA,AA,NA,1989
51,39,4,1954,1950,1900,50,NA,0,NA,5,21,3,1903,ELP,223,0,432,NA,6,NA,ABQ,NA,N338,2,10,WN,NA,1996
117,93,-12,1719,1731,1516,135,NA,0,NA,1,25,6,1522,BOS,728,0,720,NA,6,NA,CLT,NA,N770??,11,13,US,NA,2001
189,175,-22,433,455,2325,210,,0,NA,2,26,-1,2324,MKE,1524,0,519,NA,8,NA,LAS,NA,N173AT,5,9,FL,NA,2008
149,111,12,1629,1617,1500,137,NA,0,NA,1,11,0,1500,STL,737,0,559,NA,9,NA,BWI,NA,N922TW,4,34,TW,NA,2000
148,125,266,2156,1730,1402,148,,0,259,4,1,266,1828,SJU,1045,0,1049,7,12,0,MIA,0,N623AA,3,20,AA,0,2005
170,155,-13,1149,1202,700,182,NA,0,NA,7,4,-1,659,MSP,1300,0,778,NA,5,NA,LAS,NA,N534US,3,12,NW,NA,2003
108,NA,-1,2203,2204,2015,109,NA,0,NA,7,3,0,2015,SJC,697,0,1442,NA,11,NA,SEA,NA,NA,NA,NA,AA,NA,1991
63,51,-12,938,950,835,75,NA,0,NA,4,18,0,835,ONT,325,0,600,NA,6,NA,PHX,NA,N342,2,10,WN,NA,1998
56,NA,-2,703,705,700,65,NA,0,NA,4,7,7,707,MDW,229,0,531,NA,2,NA,DTW,NA,NA,NA,NA,WN,NA,1991
58,NA,7,1149,1142,1045,57,NA,0,NA,7,10,6,1051,PIT,253,0,327,NA,5,NA,ABE,NA,NA,NA,NA,US,NA,1992
33,NA,-1,2353,2354,2320,34,NA,0,NA,3,11,0,2320,SAN,109,0,1840,NA,11,NA,LAX,NA,NA,NA,NA,PS,NA,1987
163,NA,0,1123,1123,940,163,NA,0,NA,1,12,0,940,DEN,1062,0,1719,NA,10,NA,MSY,NA,NA,NA,NA,CO,NA,1987
57,NA,-4,841,845,745,60,NA,0,NA,3,27,-1,744,PIT,243,0,290,NA,7,NA,AVP,NA,NA,NA,NA,US,NA,1994
139,111,-7,1146,1153,930,143,NA,0,NA,2,25,-3,927,DFW,802,0,2315,NA,6,NA,ORD,NA,N558AA,15,13,AA,NA,2002
97,79,-3,907,910,732,98,,0,0,4,29,-2,730,ORD,522,0,4168,0,9,0,XNA,0,N510AE,3,15,MQ,0,2005
62,43,1,1015,1014,913,61,,0,0,3,3,0,913,ATL,152,0,4215,0,10,0,TYS,0,N925EV,10,9,EV,0,2007
244,217,1,1817,1816,1600,256,,0,0,2,26,13,1613,LAX,1745,0,123,0,8,0,ORD,0,N569UA,9,18,UA,0,2003
109,NA,6,1016,1010,827,103,NA,0,NA,3,28,0,827,DTW,594,0,534,NA,6,NA,ATL,NA,NA,NA,NA,DL,NA,1989
122,78,-9,1055,1104,900,124,,0,0,2,18,-7,853,DTW,501,0,537,0,9,0,LGA,0,N507US,9,35,NW,0,2007
101,85,-17,1736,1753,1700,113,,0,0,5,3,-5,1655,PIA,564,0,4646,0,12,0,ATL,0,N858AS,2,14,EV,0,2004
97,84,-2,1015,1017,844,93,,0,0,7,22,-6,838,ATL,445,0,307,0,7,0,SRQ,0,N149AT,5,8,FL,0,2007
158,140,-4,1434,1438,1200,158,,0,NA,4,25,-4,1156,MCO,1011,0,554,NA,12,NA,BUF,NA,N267AT,8,10,FL,NA,2008
57,43,31,1404,1333,1230,63,NA,0,NA,7,20,37,1307,GRR,268,0,2017,NA,10,NA,CVG,NA,N322DL,5,9,DL,NA,1996
148,131,-9,826,835,700,155,NA,0,NA,4,1,-2,658,MSP,906,0,739,NA,8,NA,ATL,NA,N95S,4,13,NW,NA,1996
115,103,5,1435,1430,1240,110,,0,0,2,21,0,1240,PHX,646,0,1405,0,10,0,OAK,0,N520,4,8,WN,0,2003
206,180,9,2051,2042,1916,206,NA,0,NA,6,8,9,1925,SNA,1205,0,1169,NA,9,NA,DFW,NA,N417A1,8,18,AA,NA,2001
140,123,11,1022,1011,700,131,,0,0,3,23,2,702,CVG,812,0,1610,0,7,0,DFW,0,N394DA,5,12,DL,0,2003
233,212,-23,1649,1712,1500,252,NA,0,NA,3,21,-4,1456,SNA,1726,0,649,NA,7,NA,ORD,NA,N5CNAA,5,16,AA,NA,1999
118,99,4,1638,1634,1541,113,,0,0,2,27,-1,1540,DEN,627,0,6554,0,3,0,FAR,0,N951SW,6,13,OO,0,2007
100,NA,3,1748,1745,1510,95,NA,0,NA,7,12,-2,1508,DSM,589,0,690,NA,3,NA,DEN,NA,NA,NA,NA,UA,NA,1989
160,142,-39,1154,1233,915,198,NA,0,NA,6,25,-1,914,MIA,1097,0,813,NA,12,NA,LGA,NA,N629AA,4,14,AA,NA,1999
51,41,4,1209,1205,1110,55,NA,0,NA,4,5,8,1118,TPA,197,0,1119,NA,12,NA,FLL,NA,N635,3,7,WN,NA,2002
83,64,-9,1035,1044,919,85,,0,0,5,16,-7,912,MSP,349,0,221,0,3,0,MDW,0,N944AT,8,11,FL,0,2007
97,88,7,1542,1535,1455,100,NA,0,NA,1,19,10,1505,ABQ,580,0,30,NA,1,NA,DAL,NA,N620,3,6,WN,NA,1998
115,NA,12,2055,2043,1757,106,NA,0,NA,5,18,3,1800,PHX,646,0,482,NA,1,NA,OAK,NA,NA,NA,NA,HP,NA,1991
87,NA,5,1607,1602,1440,82,NA,0,NA,1,7,0,1440,SFO,421,0,495,NA,6,NA,PSP,NA,NA,NA,NA,AS,NA,1993
40,28,-10,850,900,810,50,,0,0,5,7,0,810,ORF,159,0,1272,0,5,0,BWI,0,N633SW,2,10,WN,0,2004
63,45,-11,1749,1800,1650,70,,0,0,3,27,-4,1646,PHL,267,0,1465,0,12,0,PIT,0,N722UW,5,13,US,0,2006
71,42,2,1820,1818,1716,62,,0,NA,3,29,-7,1709,IAH,201,0,2842,NA,10,NA,LFT,NA,N13968,5,24,XE,NA,2008
180,158,3,2006,2003,1610,173,NA,0,NA,2,25,-4,1606,DCA,1208,0,468,NA,3,NA,IAH,NA,N17329,4,18,CO,NA,1997
119,97,-22,2258,2320,1958,142,,0,0,4,19,1,1959,JAX,817,0,168,0,4,0,IAH,0,N18622,6,16,CO,0,2007
250,233,15,1025,1010,815,235,,0,0,7,2,0,815,LAS,1521,0,880,0,11,15,MDW,0,N432,5,12,WN,0,2003
95,70,2,1037,1035,900,95,,0,0,6,31,2,902,STL,546,0,222,0,3,0,DAL,0,N322SW,4,21,WN,0,2007
269,233,48,2222,2134,1900,274,,0,6,1,4,53,1953,SFO,1846,0,157,42,8,0,ORD,0,N452UA,7,29,UA,0,2003
94,74,2,1713,1711,1545,86,,0,0,1,10,-6,1539,PHL,336,0,1238,0,12,0,RDU,0,N763US,9,11,US,0,2007
81,55,11,1127,1116,1008,68,NA,0,NA,5,28,-2,1006,PHX,338,0,204,NA,8,NA,SNA,NA,N169AW,6,20,HP,NA,1998
94,74,13,1008,955,920,95,NA,0,NA,3,20,14,934,STL,440,0,484,NA,5,NA,DTW,NA,N686,5,15,WN,NA,1998
80,64,22,1547,1525,1410,75,NA,0,NA,4,12,17,1427,OMA,423,0,332,NA,6,NA,MDW,NA,N686,8,8,WN,NA,1997
104,82,5,1412,1407,1225,102,NA,0,NA,2,5,3,1228,EWR,529,0,1123,NA,9,NA,CLT,NA,N829US,5,17,US,NA,1995
104,84,3,1137,1134,955,99,NA,0,NA,5,4,-2,953,CLE,554,0,1220,NA,7,NA,ATL,NA,N10251,6,14,CO,NA,1997
104,94,14,1654,1640,1545,115,NA,0,NA,4,7,25,1610,MDW,611,0,1377,NA,10,NA,BWI,NA,N358,4,6,WN,NA,1999
124,91,17,1154,1137,850,107,NA,0,NA,7,10,0,850,TPA,656,0,878,NA,10,NA,MEM,NA,N343NW,5,28,NW,NA,1999
84,NA,2,1519,1517,1355,82,NA,0,NA,6,28,0,1355,PVD,467,0,148,NA,3,NA,PIT,NA,NA,NA,NA,US,NA,1992
